# Registry: Charleston Road Registry Inc.
# Script: Jpan
# Version: 2.0
# Effective Date: 17-04-2023
# URL: https://www.iana.org/domains/idn-tables/tables/google_jpan_2.0.txt
# Policy: https://www.registry.google/about/policies/domainabuse/
# Contact Name: CRR Tech
# Email address: crr-tech@google.com
# Telephone: +1 (650) 253-0000
#
# Code points requiring context rules
#
# Code point                        Description of rule/Reference
#
# U+002D                            Label must neither start nor end with U+002D. Label
#    HYPHEN-MINUS                   must not have U+002D in both third and fourth
#                                   position. RFC 5891 (sec 4.2.3.1)
#

U+002D                         # HYPHEN-MINUS
U+307D                         # HIRAGANA LETTER PO
U+307E                         # HIRAGANA LETTER MA
U+307F                         # HIRAGANA LETTER MI
U+3080                         # HIRAGANA LETTER MU
U+3081                         # HIRAGANA LETTER ME
U+3082                         # HIRAGANA LETTER MO
U+3084                         # HIRAGANA LETTER YA
U+3086                         # HIRAGANA LETTER YU
U+3088                         # HIRAGANA LETTER YO
U+3089                         # HIRAGANA LETTER RA
U+308A                         # HIRAGANA LETTER RI
U+308B                         # HIRAGANA LETTER RU
U+308C                         # HIRAGANA LETTER RE
U+308D                         # HIRAGANA LETTER RO
U+308F                         # HIRAGANA LETTER WA
U+3090                         # HIRAGANA LETTER WI
U+3091                         # HIRAGANA LETTER WE
U+3092                         # HIRAGANA LETTER WO
U+3093                         # HIRAGANA LETTER N
U+30A2                         # KATAKANA LETTER A
U+30A4                         # KATAKANA LETTER I
U+30A6                         # KATAKANA LETTER U
U+30A8                         # KATAKANA LETTER E
U+30AA                         # KATAKANA LETTER O
U+30AB                         # KATAKANA LETTER KA
U+30AC                         # KATAKANA LETTER GA
U+30AD                         # KATAKANA LETTER KI
U+30AE                         # KATAKANA LETTER GI
U+30AF                         # KATAKANA LETTER KU
U+30B0                         # KATAKANA LETTER GU
U+30B1                         # KATAKANA LETTER KE
U+30B2                         # KATAKANA LETTER GE
U+30B3                         # KATAKANA LETTER KO
U+30B4                         # KATAKANA LETTER GO
U+30B5                         # KATAKANA LETTER SA
U+30B6                         # KATAKANA LETTER ZA
U+30B7                         # KATAKANA LETTER SI
U+30B8                         # KATAKANA LETTER ZI
U+30B9                         # KATAKANA LETTER SU
U+30BA                         # KATAKANA LETTER ZU
U+30BB                         # KATAKANA LETTER SE
U+30BC                         # KATAKANA LETTER ZE
U+30BD                         # KATAKANA LETTER SO
U+30BE                         # KATAKANA LETTER ZO
U+30BF                         # KATAKANA LETTER TA
U+30C0                         # KATAKANA LETTER DA
U+30C1                         # KATAKANA LETTER TI
U+30C2                         # KATAKANA LETTER DI
U+30C4                         # KATAKANA LETTER TU
U+30C5                         # KATAKANA LETTER DU
U+30C6                         # KATAKANA LETTER TE
U+30C7                         # KATAKANA LETTER DE
U+30C8                         # KATAKANA LETTER TO
U+30C9                         # KATAKANA LETTER DO
U+30CA                         # KATAKANA LETTER NA
U+30CB                         # KATAKANA LETTER NI
U+30CC                         # KATAKANA LETTER NU
U+30CD                         # KATAKANA LETTER NE
U+30CE                         # KATAKANA LETTER NO
U+30CF                         # KATAKANA LETTER HA
U+30D0                         # KATAKANA LETTER BA
U+30D1                         # KATAKANA LETTER PA
U+30D2                         # KATAKANA LETTER HI
U+30D3                         # KATAKANA LETTER BI
U+30D4                         # KATAKANA LETTER PI
U+30D5                         # KATAKANA LETTER HU
U+30D6                         # KATAKANA LETTER BU
U+30D7                         # KATAKANA LETTER PU
U+30DB                         # KATAKANA LETTER HO
U+30DC                         # KATAKANA LETTER BO
U+30DD                         # KATAKANA LETTER PO
U+30DE                         # KATAKANA LETTER MA
U+30DF                         # KATAKANA LETTER MI
U+30E0                         # KATAKANA LETTER MU
U+30E1                         # KATAKANA LETTER ME
U+30E2                         # KATAKANA LETTER MO
U+30E4                         # KATAKANA LETTER YA
U+30E6                         # KATAKANA LETTER YU
U+30E8                         # KATAKANA LETTER YO
U+30E9                         # KATAKANA LETTER RA
U+30EA                         # KATAKANA LETTER RI
U+30EB                         # KATAKANA LETTER RU
U+30EC                         # KATAKANA LETTER RE
U+30ED                         # KATAKANA LETTER RO
U+30EF                         # KATAKANA LETTER WA
U+30F0                         # KATAKANA LETTER WI
U+30F1                         # KATAKANA LETTER WE
U+30F2                         # KATAKANA LETTER WO
U+30F3                         # KATAKANA LETTER N
U+30F4                         # KATAKANA LETTER VU
U+4E00                         # G, H, J, KP, K, -, T, -, V, II
U+4E01                         # G, H, J, KP, K, -, T, -, V, II
U+4E03                         # G, H, J, KP, K, -, T, -, V, II
U+4E07                         # G, H, J, KP, K, -, T, -, V, II
U+4E08                         # G, H, J, KP, K, -, T, -, V, II
U+4E09                         # G, H, J, KP, K, -, T, -, V, II
U+4E0A                         # G, H, J, KP, K, -, T, -, V, II
U+4E0B                         # G, H, J, KP, K, -, T, -, V, II
U+4E0D                         # G, H, J, KP, K, -, T, -, V, II
U+4E0E                         # G, H, J, --, K, -, T, -, V, II
U+4E10                         # G, H, J, KP, K, -, T, -, V, II
U+4E11                         # G, H, J, KP, K, -, T, -, V, II
U+4E14                         # G, H, J, KP, K, -, T, -, V, II
U+4E15                         # G, H, J, KP, K, -, T, -, V, II
U+4E16                         # G, H, J, KP, K, -, T, -, V, II
U+4E18                         # G, H, J, KP, K, -, T, -, V, II
U+4E19                         # G, H, J, KP, K, -, T, -, V, II
U+4E1E                         # G, H, J, KP, K, -, T, -, V, II
U+4E21                         # G, H, J, KP, K, -, T, -, -, II
U+4E26                         # G, H, J, KP, K, -, T, -, -, II
U+4E2A                         # G, H, J, KP, K, -, T, -, V, II
U+4E2D                         # G, H, J, KP, K, -, T, -, V, II
U+4E31                         # G, H, J, KP, K, -, T, -, -, II
U+4E32                         # G, H, J, KP, K, -, T, -, V, II
U+4E36                         # G, H, J, KP, K, -, T, -, -, --
U+4E38                         # G, H, J, KP, K, -, T, -, V, II
U+4E39                         # G, H, J, KP, K, -, T, -, V, II
U+4E3B                         # G, H, J, KP, K, -, T, -, V, II
U+4E3C                         # G, H, J, KP, K, -, T, -, -, II
U+4E3F                         # G, H, J, KP, K, -, T, -, V, --
U+4E42                         # G, H, J, KP, K, -, T, -, V, II
U+4E43                         # G, H, J, KP, K, -, T, -, V, II
U+4E45                         # G, H, J, KP, K, -, T, -, V, II
U+4E4B                         # G, H, J, KP, K, -, T, -, V, II
U+4E4D                         # G, H, J, KP, K, -, T, -, V, II
U+4E4E                         # G, H, J, KP, K, -, T, -, V, II
U+4E4F                         # G, H, J, KP, K, -, T, -, V, II
U+4E55                         # G, -, J, --, -, -, -, -, -, II
U+4E56                         # G, H, J, KP, K, -, T, -, V, II
U+4E57                         # G, -, J, KP, K, -, T, -, -, II
U+4E59                         # G, H, J, KP, K, -, T, -, V, II
U+4E5D                         # G, H, J, KP, K, -, T, -, V, II
U+4E5E                         # G, H, J, KP, K, -, T, -, V, II
U+4E5F                         # G, H, J, KP, K, -, T, -, V, II
U+4E62                         # G, -, J, --, -, -, T, -, -, --
U+4E71                         # G, -, J, KP, K, -, T, -, V, II
U+4E73                         # G, H, J, KP, K, -, T, -, V, II
U+4E7E                         # G, H, J, KP, K, -, T, -, V, II
U+4E80                         # G, H, J, KP, K, -, T, -, -, II
U+4E85                         # G, H, J, KP, K, -, T, -, -, --
U+4E86                         # G, H, J, KP, K, -, T, -, V, II
U+4E88                         # G, H, J, KP, K, -, T, -, V, II
U+4E89                         # G, H, J, KP, K, -, T, -, -, II
U+4E8A                         # G, -, J, --, -, -, -, -, -, --
U+4E8E                         # G, H, J, KP, K, -, T, -, V, II
U+4E91                         # G, H, J, KP, K, -, T, -, V, II
U+4E92                         # G, H, J, KP, K, -, T, -, V, II
U+4E94                         # G, H, J, KP, K, -, T, -, V, II
U+4E98                         # G, H, J, KP, K, -, T, -, -, II
U+4E9B                         # G, H, J, KP, K, -, T, -, V, II
U+4E9C                         # G, -, J, KP, K, -, T, -, -, II
U+4E9F                         # G, H, J, KP, K, -, T, -, V, II
U+4EA0                         # G, H, J, KP, K, -, T, -, -, --
U+4EA1                         # G, H, J, KP, K, -, T, -, V, II
U+4EA2                         # G, H, J, KP, K, -, T, -, V, II
U+4EA4                         # G, H, J, KP, K, -, T, -, V, II
U+4EA5                         # G, H, J, KP, K, -, T, -, V, II
U+4EA6                         # G, H, J, KP, K, -, T, -, -, II
U+4EA8                         # G, H, J, KP, K, -, T, -, V, II
U+4EAB                         # G, H, J, KP, K, -, T, -, V, II
U+4EAC                         # G, H, J, KP, K, -, T, -, V, II
U+4EAD                         # G, H, J, KP, K, -, T, -, V, II
U+4EAE                         # G, H, J, KP, K, -, T, -, -, II
U+4EB3                         # G, H, J, KP, K, -, T, -, -, II
U+4EB6                         # G, H, J, KP, K, -, T, -, -, II
U+4EBA                         # G, H, J, KP, K, -, T, -, V, II
U+4EC0                         # G, H, J, KP, K, -, T, -, V, II
U+4EC1                         # G, H, J, KP, K, -, T, -, V, II
U+4EC2                         # G, H, J, KP, K, -, T, -, -, --
U+4EC4                         # G, H, J, KP, K, -, T, -, V, II
U+4EC6                         # G, H, J, KP, K, -, T, -, V, II
U+4EC7                         # G, H, J, KP, K, -, T, -, V, II
U+4ECA                         # G, H, J, KP, K, -, T, -, V, II
U+4ECB                         # G, H, J, KP, K, -, T, -, V, II
U+4ECD                         # G, H, J, KP, K, -, T, -, V, II
U+4ECE                         # G, H, J, KP, K, -, T, -, -, II
U+4ECF                         # G, -, J, KP, K, -, T, -, -, II
U+4ED4                         # G, H, J, KP, K, -, T, -, V, II
U+4ED5                         # G, H, J, KP, K, -, T, -, V, II
U+4ED6                         # G, H, J, KP, K, -, T, -, V, II
U+4ED7                         # G, H, J, KP, K, -, T, -, V, II
U+4ED8                         # G, H, J, KP, K, -, T, -, V, II
U+4ED9                         # G, H, J, KP, K, -, T, -, V, II
U+4EDD                         # G, H, J, KP, K, -, T, -, V, II
U+4EDE                         # G, H, J, KP, K, -, T, -, V, II
U+4EDF                         # G, H, J, KP, K, -, T, -, -, II
U+4EE3                         # G, H, J, KP, K, -, T, -, V, II
U+4EE4                         # G, H, J, KP, K, -, T, -, V, II
U+4EE5                         # G, H, J, KP, K, -, T, -, V, II
U+4EEE                         # G, H, J, --, K, -, T, -, -, II
U+4EF0                         # G, H, J, KP, K, -, T, -, V, II
U+4EF2                         # G, H, J, KP, K, -, T, -, V, II
U+4EF6                         # G, H, J, KP, K, -, T, -, V, II
U+4EF7                         # G, H, J, KP, K, -, T, -, V, II
U+4EFB                         # G, H, J, KP, K, -, T, -, V, II
U+4F01                         # G, H, J, KP, K, -, T, -, V, II
U+4F09                         # G, H, J, KP, K, -, T, -, -, II
U+4F0A                         # G, H, J, KP, K, -, T, -, V, II
U+4F0E                         # G, H, J, KP, K, -, T, -, V, II
U+4F0F                         # G, H, J, KP, K, -, T, -, V, II
U+4F10                         # G, H, J, KP, K, -, T, -, V, II
U+4F11                         # G, H, J, KP, K, -, T, -, V, II
U+4F1A                         # G, H, J, KP, K, -, T, -, V, II
U+4F1C                         # G, -, J, KP, K, -, T, -, -, II
U+4F1D                         # G, H, J, KP, K, -, T, -, -, II
U+4F2F                         # G, H, J, KP, K, -, T, -, V, II
U+4F30                         # G, H, J, KP, K, -, T, -, -, II
U+4F34                         # G, H, J, KP, K, -, T, -, V, II
U+4F36                         # G, H, J, KP, K, -, T, -, V, II
U+4F38                         # G, H, J, KP, K, -, T, -, -, II
U+4F3A                         # G, H, J, KP, K, -, T, -, -, II
U+4F3C                         # G, H, J, KP, K, -, T, -, V, II
U+4F3D                         # G, H, J, KP, K, -, T, -, V, II
U+4F43                         # G, H, J, KP, K, -, T, -, V, II
U+4F46                         # G, H, J, KP, K, -, T, -, V, II
U+4F47                         # G, H, J, KP, K, -, T, -, -, II
U+4F4D                         # G, H, J, KP, K, -, T, -, V, II
U+4F4E                         # G, H, J, KP, K, -, T, -, V, II
U+4F4F                         # G, H, J, KP, K, -, T, -, V, II
U+4F50                         # G, H, J, KP, K, -, T, -, V, II
U+4F51                         # G, H, J, KP, K, -, T, -, -, II
U+4F53                         # G, H, J, KP, K, -, T, -, V, II
U+4F55                         # G, H, J, KP, K, -, T, -, V, II
U+4F57                         # G, H, J, KP, K, -, T, -, -, II
U+4F59                         # G, H, J, KP, K, -, T, -, V, II
U+4F5A                         # G, H, J, KP, K, -, T, -, V, II
U+4F5C                         # G, H, J, KP, K, -, T, -, V, II
U+4F5D                         # G, H, J, KP, K, -, T, -, -, II
U+4F5E                         # G, H, J, KP, K, -, T, -, V, II
U+4F69                         # G, H, J, KP, K, -, T, -, -, II
U+4F6F                         # G, H, J, KP, K, -, T, -, -, II
U+4F70                         # G, H, J, KP, K, -, T, -, -, II
U+4F73                         # G, H, J, KP, K, -, T, -, V, II
U+4F76                         # G, H, J, KP, K, -, T, -, -, II
U+4F7B                         # G, H, J, KP, K, -, T, -, V, II
U+4F7C                         # G, H, J, KP, K, -, T, -, -, II
U+4F7F                         # G, H, J, KP, K, -, T, -, V, II
U+4F83                         # G, H, J, KP, K, -, T, -, V, II
U+4F86                         # G, H, J, KP, K, -, T, -, V, II
U+4F88                         # G, H, J, KP, K, -, T, -, V, II
U+4F8B                         # G, H, J, KP, K, -, T, -, V, II
U+4F8D                         # G, H, J, KP, K, -, T, -, V, II
U+4F8F                         # G, H, J, KP, K, -, T, -, -, II
U+4F91                         # G, H, J, KP, K, -, T, -, -, II
U+4F96                         # G, H, J, KP, K, -, T, -, V, II
U+4F98                         # G, H, J, KP, K, -, T, -, V, II
U+4F9B                         # G, H, J, KP, K, -, T, -, V, II
U+4F9D                         # G, H, J, KP, K, -, T, -, V, II
U+4FA0                         # G, -, J, KP, K, -, T, -, -, II
U+4FAD                         # G, -, J, --, -, -, -, -, -, II
U+4FAE                         # G, H, J, KP, K, -, T, -, -, II
U+4FAF                         # G, H, J, KP, K, -, T, -, V, II
U+4FB5                         # G, H, J, KP, K, -, T, -, V, II
U+4FB6                         # G, H, J, KP, K, -, T, -, V, II
U+4FBF                         # G, H, J, KP, K, -, T, -, V, II
U+4FC2                         # G, H, J, KP, K, -, T, -, V, II
U+4FC3                         # G, H, J, KP, K, -, T, -, V, II
U+4FC4                         # G, H, J, KP, K, -, T, -, V, II
U+4FCA                         # G, H, J, KP, K, -, T, -, V, II
U+4FCE                         # G, H, J, KP, K, -, T, -, -, II
U+4FD0                         # G, H, J, KP, K, -, T, -, V, II
U+4FD1                         # G, H, J, KP, K, -, T, -, V, II
U+4FD4                         # G, H, J, KP, K, -, T, -, -, II
U+4FD7                         # G, H, J, KP, K, -, T, -, V, II
U+4FD8                         # G, H, J, KP, K, -, T, -, -, II
U+4FDA                         # G, H, J, KP, K, -, T, -, V, II
U+4FDB                         # G, H, J, KP, K, -, T, -, -, --
U+4FDD                         # G, H, J, KP, K, -, T, -, V, II
U+4FDF                         # G, H, J, KP, K, -, T, -, -, II
U+4FE1                         # G, H, J, KP, K, -, T, -, V, II
U+4FE3                         # G, -, J, --, K, -, T, -, -, II
U+4FE4                         # G, H, J, --, K, -, T, -, -, --
U+4FE5                         # G, H, J, --, K, -, T, -, -, II
U+4FEE                         # G, H, J, KP, K, -, T, -, V, II
U+4FF3                         # G, H, J, KP, K, -, T, -, V, II
U+4FF5                         # G, H, J, KP, K, -, T, -, V, II
U+4FF6                         # G, H, J, KP, K, -, T, -, -, II
U+4FF8                         # G, H, J, KP, K, -, T, -, V, II
U+4FFA                         # G, H, J, KP, K, -, T, -, V, II
U+4FFE                         # G, H, J, KP, K, -, T, -, -, II
U+5006                         # G, H, J, KP, K, -, T, -, V, II
U+5009                         # G, H, J, KP, K, -, T, -, V, II
U+500D                         # G, H, J, KP, K, -, T, -, V, II
U+500F                         # G, H, J, KP, K, -, T, -, -, II
U+5011                         # G, H, J, KP, K, -, T, -, V, II
U+5012                         # G, H, J, KP, K, -, T, -, V, II
U+5014                         # G, H, J, KP, K, -, T, -, V, II
U+5016                         # G, H, J, KP, K, -, T, -, V, II
U+5019                         # G, H, J, KP, K, -, T, -, V, II
U+501A                         # G, H, J, KP, K, -, T, -, V, II
U+501F                         # G, H, J, KP, K, -, T, -, V, II
U+5021                         # G, H, J, KP, K, -, T, -, V, II
U+5023                         # G, H, J, KP, K, -, T, -, V, II
U+5024                         # G, -, J, KP, K, -, T, -, V, II
U+5025                         # G, H, J, KP, K, -, T, -, -, II
U+5026                         # G, H, J, KP, K, -, T, -, V, II
U+5028                         # G, H, J, KP, K, -, T, -, -, II
U+5029                         # G, H, J, KP, K, -, T, -, V, II
U+502A                         # G, H, J, KP, K, -, T, -, V, II
U+502B                         # G, H, J, KP, K, -, T, -, V, II
U+502C                         # G, H, J, KP, K, -, T, -, V, II
U+502D                         # G, H, J, KP, K, -, T, -, V, II
U+5036                         # G, -, J, --, K, -, T, -, -, II
U+5039                         # G, -, J, KP, K, -, T, -, -, II
U+5043                         # G, H, J, KP, K, -, T, -, V, II
U+5047                         # G, H, J, KP, K, -, T, -, V, II
U+5048                         # G, H, J, KP, K, -, T, -, V, II
U+5049                         # G, H, J, KP, K, -, T, -, V, II
U+504F                         # G, H, J, KP, K, -, T, -, V, II
U+5050                         # G, -, J, KP, K, -, T, -, -, --
U+5055                         # G, H, J, KP, K, -, T, -, -, II
U+5056                         # G, H, J, --, K, -, T, -, V, --
U+505A                         # G, H, J, KP, K, -, T, -, -, II
U+505C                         # G, H, J, KP, K, -, T, -, V, II
U+5065                         # G, H, J, KP, K, -, T, -, V, II
U+506C                         # G, H, J, KP, K, -, T, -, -, --
U+5072                         # G, H, J, KP, K, -, T, -, -, II
U+5074                         # G, H, J, KP, K, -, T, -, V, II
U+5075                         # G, H, J, KP, K, -, T, -, V, II
U+5076                         # G, H, J, KP, K, -, T, -, V, II
U+5078                         # G, -, J, KP, K, -, T, -, -, II
U+507D                         # G, H, J, KP, -, -, T, -, V, II
U+5080                         # G, H, J, KP, K, -, T, -, -, II
U+5085                         # G, H, J, KP, K, -, T, -, V, II
U+508D                         # G, H, J, KP, K, -, T, -, V, II
U+5091                         # G, H, J, KP, K, -, T, -, V, II
U+5098                         # G, H, J, KP, K, -, T, -, V, II
U+5099                         # G, H, J, KP, K, -, T, -, V, II
U+509A                         # G, H, J, KP, K, -, T, -, -, II
U+50AC                         # G, H, J, KP, K, -, T, -, V, II
U+50AD                         # G, H, J, KP, K, -, T, -, -, II
U+50B2                         # G, H, J, KP, K, -, T, -, V, II
U+50B3                         # G, H, J, KP, K, -, T, -, V, II
U+50B4                         # G, H, J, KP, K, -, T, -, -, --
U+50B5                         # G, H, J, KP, K, -, T, -, V, II
U+50B7                         # G, H, J, KP, K, -, T, -, V, II
U+50BE                         # G, H, J, KP, K, -, T, -, V, II
U+50C2                         # G, H, J, KP, K, -, T, -, V, II
U+50C5                         # G, H, J, KP, K, -, T, -, -, II
U+50C9                         # G, H, J, KP, K, -, T, -, -, II
U+50CD                         # G, H, J, --, K, -, T, -, -, II
U+50CF                         # G, H, J, KP, K, -, T, -, V, II
U+50D1                         # G, H, J, KP, K, -, T, -, V, II
U+50D6                         # G, H, J, KP, K, -, T, -, -, II
U+50DA                         # G, H, J, KP, K, -, T, -, V, II
U+50E3                         # G, H, J, KP, K, -, T, -, V, II
U+50E5                         # G, H, J, KP, K, -, T, -, V, II
U+50E7                         # G, H, J, KP, K, -, T, -, V, II
U+50EE                         # G, H, J, KP, K, -, T, -, V, II
U+50F5                         # G, H, J, KP, K, -, T, -, -, II
U+50FB                         # G, H, J, KP, K, -, T, -, -, II
U+5100                         # G, H, J, KP, K, -, T, -, V, II
U+5102                         # G, H, J, KP, K, -, T, -, V, II
U+5104                         # G, H, J, KP, K, -, T, -, V, II
U+5112                         # G, H, J, KP, K, -, T, -, V, II
U+5114                         # G, H, J, KP, K, -, T, -, -, II
U+5115                         # G, H, J, KP, K, -, T, -, -, II
U+5116                         # G, -, J, KP, K, -, T, -, -, --
U+511A                         # G, H, J, KP, K, -, T, -, -, II
U+511F                         # G, H, J, KP, K, -, T, -, -, II
U+5121                         # G, H, J, KP, K, -, T, -, -, II
U+512A                         # G, H, J, KP, K, -, T, -, V, II
U+5132                         # G, H, J, KP, K, -, T, -, -, II
U+5137                         # G, H, J, KP, K, -, T, -, -, II
U+513A                         # G, H, J, KP, K, -, T, -, -, II
U+513B                         # G, H, J, KP, K, -, T, -, -, II
U+513C                         # G, H, J, KP, K, -, T, -, V, II
U+513F                         # G, H, J, KP, K, -, T, -, -, II
U+5140                         # G, H, J, KP, K, -, T, -, V, II
U+5141                         # G, H, J, KP, K, -, T, -, -, II
U+5143                         # G, H, J, KP, K, -, T, -, V, II
U+5144                         # G, H, J, KP, K, -, T, -, V, II
U+5145                         # G, H, J, KP, K, -, T, -, V, II
U+5146                         # G, H, J, KP, K, -, T, -, V, II
U+5147                         # G, H, J, KP, K, -, T, -, V, II
U+5148                         # G, H, J, KP, K, -, T, -, V, II
U+5149                         # G, H, J, KP, K, -, T, -, V, II
U+514B                         # G, H, J, KP, K, -, T, -, V, II
U+514C                         # G, H, J, KP, K, -, T, -, -, II
U+514D                         # G, H, J, KP, K, -, T, -, V, II
U+514E                         # G, -, J, KP, K, -, T, -, -, II
U+515A                         # G, H, J, KP, K, -, T, -, V, II
U+515C                         # G, H, J, KP, K, -, T, -, V, II
U+5162                         # G, H, J, KP, K, -, T, -, V, II
U+5165                         # G, H, J, KP, K, -, T, -, V, II
U+5168                         # G, H, J, KP, K, -, T, -, V, II
U+516A                         # G, H, J, KP, K, -, T, -, -, II
U+516C                         # G, H, J, KP, K, -, T, -, V, II
U+516D                         # G, H, J, KP, K, -, T, -, V, II
U+516E                         # G, H, J, KP, K, -, T, -, V, II
U+5171                         # G, H, J, KP, K, -, T, -, V, II
U+5175                         # G, H, J, KP, K, -, T, -, V, II
U+5176                         # G, H, J, KP, K, -, T, -, V, II
U+5177                         # G, H, J, KP, K, -, T, -, V, II
U+5178                         # G, H, J, KP, K, -, T, -, V, II
U+517C                         # G, H, J, KP, K, -, T, -, V, II
U+5180                         # G, H, J, KP, K, -, T, -, -, II
U+5182                         # G, H, J, KP, K, -, T, -, -, --
U+5185                         # G, -, J, KP, -, -, T, -, V, II
U+5186                         # G, H, J, KP, K, -, T, -, -, II
U+5189                         # G, H, J, KP, K, -, T, -, V, II
U+518A                         # G, H, J, KP, K, -, T, -, -, II
U+518D                         # G, H, J, KP, K, -, T, -, V, II
U+518F                         # G, H, J, KP, K, -, T, -, -, II
U+5190                         # G, -, J, KP, K, -, T, -, -, --
U+5191                         # G, H, J, KP, K, -, T, -, -, II
U+5193                         # G, H, J, KP, K, -, T, -, -, --
U+5195                         # G, H, J, KP, K, -, T, -, V, II
U+5196                         # G, H, J, KP, K, -, T, -, -, --
U+5197                         # G, H, J, KP, K, -, T, -, V, II
U+5199                         # G, -, J, --, K, -, T, -, -, II
U+51A0                         # G, H, J, KP, K, -, T, -, V, II
U+51A2                         # G, H, J, KP, K, -, T, -, -, II
U+51A4                         # G, H, J, KP, K, -, T, -, V, II
U+51A5                         # G, H, J, KP, K, -, T, -, V, II
U+51A6                         # G, -, J, --, K, -, T, -, -, --
U+51A8                         # G, H, J, --, K, -, T, -, -, II
U+51AA                         # G, H, J, KP, K, -, T, -, -, II
U+51AB                         # G, H, J, KP, K, -, T, -, -, --
U+51AC                         # G, H, J, KP, K, -, T, -, V, II
U+51B0                         # G, H, J, KP, K, -, T, -, V, II
U+51B1                         # G, H, J, KP, K, -, T, -, -, --
